,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kletskaya,36,RU,1554927547,49,49.31,43.06,60.87,7.31
1,Chokurdakh,0,RU,1554927547,63,70.62,147.9,0.3,2.73
2,Vostok,48,RU,1554927547,79,46.45,135.83,19.47,1.95
3,Andros Town,90,BS,1554927441,74,24.73,-77.79,80.01,6.93
4,Albany,75,US,1554927541,34,42.65,-73.75,50.0,21.92
5,Havelock,1,US,1554927332,32,34.88,-76.9,75.99,16.11
6,Qaanaaq,64,GL,1554927308,100,77.48,-69.36,13.53,2.51
7,Bambous Virieux,40,MU,1554927545,88,-20.34,57.76,78.01,6.93
8,Busselton,68,AU,1554927447,66,-33.64,115.35,60.01,9.22
9,Ruidoso,1,US,1554927426,8,33.33,-105.67,73.4,39.15
10,Arman,88,RU,1554927549,84,59.7,150.17,23.07,3.62
11,Lebu,36,ET,1554927549,67,8.96,38.73,57.45,4.41
12,Lumberton,1,US,1554927308,37,30.27,-94.2,88.0,14.99
13,Saint-Philippe,40,CA,1554927540,59,45.36,-73.48,41.0,9.17
14,Hedaru,32,TZ,1554927550,96,-4.5,37.91,69.69,3.62
15,Rikitea,88,PF,1554927550,100,-23.12,-134.97,75.63,20.85
16,Dubai,0,AE,1554922800,51,25.27,55.3,80.6,4.7
17,Vizinga,88,RU,1554927550,97,61.08,50.08,38.37,6.76
18,Pringsewu,64,ID,1554927550,88,-5.36,104.98,76.17,2.95
19,Punta Arenas,75,CL,1554927147,62,-53.16,-70.91,51.8,13.87
20,Tasiilaq,90,GL,1554925800,89,65.61,-37.64,39.2,27.51
21,Thompson,75,CA,1554922800,32,55.74,-97.86,37.4,5.82
22,Talnakh,64,RU,1554927551,87,69.49,88.39,7.86,6.98
23,Wanlaweyn,8,SO,1554927551,92,2.62,44.89,76.62,6.87
24,Hermanus,0,ZA,1554927318,94,-34.42,19.24,63.0,1.01
25,Ust-Uda,56,RU,1554927552,59,54.17,103.03,37.2,8.77
26,Port Moresby,20,PG,1554926400,88,-9.47,147.16,77.0,9.17
27,Castro,75,CL,1554922800,66,-42.48,-73.76,55.4,10.29
28,Jamestown,0,AU,1554927553,78,-33.21,138.6,35.22,5.19
29,Baykit,56,RU,1554927553,63,61.68,96.39,7.68,13.02
30,Kalemie,36,CD,1554927553,100,-5.95,29.2,72.12,2.06
31,Yellowknife,20,CA,1554927266,56,62.45,-114.38,50.0,6.93
32,Mataura,20,NZ,1554927005,97,-46.19,168.86,48.99,4.52
33,Touros,40,BR,1554922800,66,-5.2,-35.46,86.0,9.17
34,Itaituba,40,BR,1554922800,70,-4.26,-55.99,84.2,1.95
35,Lazo,48,MD,1554927555,50,47.89,27.93,58.62,12.24
36,Hilo,90,US,1554927504,73,19.71,-155.08,77.0,4.7
37,Port Elizabeth,40,US,1554927515,31,39.31,-74.98,68.0,17.22
38,Esperance,20,TT,1554927462,55,10.24,-61.45,89.6,17.22
39,Ushuaia,90,AR,1554922800,53,-54.81,-68.31,51.8,27.51
40,Kavaratti,0,IN,1554927556,100,10.57,72.64,84.36,6.87
41,Severo-Kurilsk,64,RU,1554927556,100,50.68,156.12,29.37,4.63
42,Mar del Plata,0,AR,1554927556,50,-46.43,-67.52,60.87,6.76
43,Paamiut,32,GL,1554927556,68,61.99,-49.67,41.7,13.47
44,Ponta do Sol,36,BR,1554927556,79,-20.63,-46.0,71.13,2.95
45,Yima,80,CN,1554927557,90,34.75,111.87,37.56,2.73
46,Leningradskiy,20,RU,1554927557,93,69.38,178.42,0.84,19.62
47,Haines Junction,12,CA,1554927557,56,60.75,-137.51,36.75,2.73
48,Chicama,0,PE,1554922800,78,-7.84,-79.15,71.6,14.99
49,Port-Gentil,40,GA,1554926400,89,-0.72,8.78,84.2,5.82
50,Sitka,76,US,1554927301,13,37.17,-99.65,89.01,21.99
51,Khatanga,48,RU,1554927558,84,71.98,102.47,-2.68,9.33
52,Narsaq,75,GL,1554925800,34,60.91,-46.05,50.0,27.51
53,Loiza,75,PR,1554927509,54,18.43,-65.88,84.2,9.17
54,Cape Town,75,ZA,1554927066,88,-33.93,18.42,63.0,11.41
55,Coahuayana,0,MX,1554927559,21,18.62,-100.35,89.04,3.4
56,Faya,0,SA,1554926400,68,18.39,42.45,66.2,3.18
57,Vaini,0,IN,1554927559,90,15.34,74.49,68.07,2.39
58,Ambilobe,68,MG,1554927560,100,-13.19,49.05,71.4,0.72
59,Bethel,1,US,1554922560,64,60.79,-161.76,37.4,12.75
60,Atuona,88,PF,1554927561,100,-9.8,-139.03,81.12,10.67
61,Isangel,90,VU,1554926400,94,-19.55,169.27,77.0,14.58
62,Anadyr,0,RU,1554927147,78,64.73,177.51,12.2,2.24
63,The Valley,40,AI,1554927303,65,18.22,-63.06,82.99,16.11
64,Linqing,56,CN,1554927562,81,36.85,115.71,40.53,3.06
65,Victoria,75,BN,1554924600,88,5.28,115.24,78.8,5.08
66,Puerto Ayora,75,EC,1554927397,66,-0.74,-90.35,86.0,16.11
67,Bluff,44,AU,1554927563,70,-23.58,149.07,70.95,8.77
68,Kolyvan,0,RU,1554924600,58,55.31,82.74,28.4,4.18
69,Ahipara,92,NZ,1554927563,100,-35.17,173.16,63.03,18.28
70,Busayra,0,JO,1554927563,69,30.74,35.61,47.28,2.17
71,Kodiak,1,US,1554927512,39,39.95,-94.76,84.99,18.34
72,Dalvik,0,SE,1554927434,79,57.79,14.13,30.99,3.36
73,Amahai,36,ID,1554927564,100,-3.31,129.0,84.09,5.64
74,Abha,0,SA,1554926400,68,18.22,42.5,66.2,1.61
75,Nizwa,12,OM,1554927564,60,22.93,57.53,68.7,4.74
76,Upernavik,80,GL,1554927564,100,72.79,-56.15,17.04,18.72
77,Salta,75,AR,1554926400,56,-24.79,-65.41,77.0,10.29
78,Airai,24,TL,1554927565,92,-8.93,125.41,69.69,1.95
79,Jinka,36,ET,1554927565,88,5.79,36.57,63.48,1.95
80,Fortuna,40,ES,1554927520,51,38.18,-1.13,60.8,11.41
